domain	kingdom	phylum	class	order	family	n_genomes	protein:RNR I:NrdA:n_proteins	protein:RNR I:NrdA:n_genomes_w_protein	protein:RNR I:NrdB:n_proteins	protein:RNR I:NrdB:n_genomes_w_protein	protein:RNR III:NrdD:n_proteins	protein:RNR III:NrdD:n_genomes_w_protein	protein:RNR III:NrdG:n_proteins	protein:RNR III:NrdG:n_genomes_w_protein	protein:RNR II:NrdJ:n_proteins	protein:RNR II:NrdJ:n_genomes_w_protein
Archaea	unspecified kingdom	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	2	0	0	0	0	2	1	0	0	2	1
Archaea	unspecified kingdom	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	1	0	0	0	0	2	1	0	0	2	1
Archaea	unspecified kingdom	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	3	6	3	6	3	2	1	0	0	6	3
Archaea	unspecified kingdom	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	1	0	0	0	0	2	1	0	0	0	0
Archaea	unspecified kingdom	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	1	0	0	0	0	2	1	0	0	0	0
Archaea	unspecified kingdom	Korarchaeota	unspecified class	unspecified order	unspecified family	1	0	0	0	0	2	1	0	0	2	1
Archaea	unspecified kingdom	Thaumarchaeota	unspecified class	Nitrosopumilales	Nitrosopumilaceae	1	0	0	0	0	0	0	0	0	0	0
Archaea	unspecified kingdom	unspecified phylum	unspecified class	unspecified order	unspecified family	1	2	1	2	1	0	0	0	0	2	1
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	2	0	0	0	0	2	1	0	0	2	1
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	1	0	0	0	0	2	1	0	0	2	1
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	2	2	1	2	1	0	0	0	0	0	0
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	1	2	1	2	1	0	0	0	0	0	0
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	3	6	2	6	2	0	0	0	0	0	0
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	1	2	1	2	1	0	0	0	0	0	0
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	1	4	1	4	1	2	1	0	0	2	1
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	unspecified class	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	1	2	1	2	1	0	0	0	0	4	1
Bacteria	delta/epsilon subdivisions	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	1	2	1	2	1	0	0	0	0	0	0
Bacteria	delta/epsilon subdivisions	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	1	2	1	2	1	0	0	0	0	0	0
Bacteria	delta/epsilon subdivisions	Proteobacteria	Epsilonproteobacteria	unspecified order	unspecified family	4	4	2	4	2	4	2	0	0	2	1
Bacteria	unspecified kingdom	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae	1	2	1	2	1	0	0	0	0	0	0
Bacteria	unspecified kingdom	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	2	2	1	0	0	4	1	0	0	0	0
Bacteria	unspecified kingdom	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	1	2	1	2	1	0	0	0	0	2	1
