domain	kingdom	phylum	n_genomes	protein:RNR I:NrdA:n_proteins	protein:RNR I:NrdA:n_genomes_w_protein	protein:RNR I:NrdB:n_proteins	protein:RNR I:NrdB:n_genomes_w_protein	protein:RNR III:NrdD:n_proteins	protein:RNR III:NrdD:n_genomes_w_protein	protein:RNR III:NrdG:n_proteins	protein:RNR III:NrdG:n_genomes_w_protein	protein:RNR II:NrdJ:n_proteins	protein:RNR II:NrdJ:n_genomes_w_protein
Archaea	unspecified kingdom	Crenarchaeota	3	0	0	0	0	4	2	0	0	4	2
Archaea	unspecified kingdom	Euryarchaeota	5	6	3	6	3	6	3	0	0	6	3
Archaea	unspecified kingdom	Korarchaeota	1	0	0	0	0	2	1	0	0	2	1
Archaea	unspecified kingdom	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	0
Archaea	unspecified kingdom	unspecified phylum	1	2	1	2	1	0	0	0	0	2	1
Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	12	18	7	18	7	6	3	0	0	10	4
Bacteria	delta/epsilon subdivisions	Proteobacteria	6	8	4	8	4	4	2	0	0	2	1
Bacteria	unspecified kingdom	Actinobacteria	7	10	5	8	4	10	4	0	0	2	1
Bacteria	unspecified kingdom	Aquificae	4	4	2	4	2	6	2	0	0	0	0
Bacteria	unspecified kingdom	Chloroflexi	1	0	0	0	0	0	0	0	0	2	1
Bacteria	unspecified kingdom	Firmicutes	11	10	5	10	5	16	8	4	1	0	0
Bacteria	unspecified kingdom	Fusobacteria	1	2	1	2	1	2	1	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	28	76	26	76	25	28	14	6	3	8	4
Bacteria	unspecified kingdom	Spirochaetes	1	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Thermotogae	8	0	0	0	0	20	8	0	0	18	8
Bacteria	unspecified kingdom	unspecified phylum	1	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Ascomycota	1	2	1	2	1	0	0	0	0	0	0
Eukaryota	Fungi	Basidiomycota	2	2	1	2	1	0	0	0	0	0	0
Eukaryota	Fungi	Microsporidia	2	2	1	2	1	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	1	2	1	2	1	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	8	20	8	40	8	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	3	6	3	12	3	0	0	0	0	0	0
Viruses	dsDNA viruses, no RNA stage	unspecified phylum	5	8	4	8	4	8	4	0	0	0	0
