							Methyloversatilis universalis FAM5		NrdB				1	1
							Methyloversatilis universalis FAM5		NrdBc				1	1
							Methyloversatilis universalis FAM5		NrdA				1	1
							Methyloversatilis universalis FAM5		NrdJ				1	1
							Methyloversatilis universalis FAM5		NrdJf				1	1
							Methyloversatilis universalis FAM5		NrdAc				1	1
							Methyloversatilis universalis		NrdB				1	1
							Methyloversatilis universalis		NrdBc				1	1
							Methyloversatilis universalis		NrdA				1	1
							Methyloversatilis universalis		NrdJ				1	1
							Methyloversatilis universalis		NrdJf				1	1
							Methyloversatilis universalis		NrdAc				1	1
							Megasphaera sp. UPII 199-6		NrdD				1	1
							Megasphaera sp. UPII 199-6		NrdDc2				1	1
							Megasphaera sp. UPII 199-6		NrdDc				1	1
							Megasphaera sp. UPII 135-E		NrdD				1	1
							Megasphaera sp. UPII 135-E		NrdDc2				1	1
							Megasphaera sp. UPII 135-E		NrdDc				1	1
							Streptococcus anginosus SK52 = DSM 20563		NrdB				1	1
							Streptococcus anginosus SK52 = DSM 20563		NrdF				1	1
							Streptococcus anginosus SK52 = DSM 20563		NrdA				1	1
							Streptococcus anginosus SK52 = DSM 20563		NrdD				1	1
							Streptococcus anginosus SK52 = DSM 20563		NrdDc1				1	1
							Streptococcus anginosus SK52 = DSM 20563		NrdE				1	1
							Streptococcus anginosus SK52 = DSM 20563		NrdDc				1	1
							Streptococcus anginosus		NrdB				4	4
							Streptococcus anginosus		NrdF				4	4
							Streptococcus anginosus		NrdA				4	4
							Streptococcus anginosus		NrdD				4	4
							Streptococcus anginosus		NrdDc1				4	4
							Streptococcus anginosus		NrdE				4	4
							Streptococcus anginosus		NrdDc				4	4
							Streptococcus mitis bv. 2 str. SK95		NrdB				1	1
							Streptococcus mitis bv. 2 str. SK95		NrdF				1	1
							Streptococcus mitis bv. 2 str. SK95		NrdA				1	1
							Streptococcus mitis bv. 2 str. SK95		NrdD				1	1
							Streptococcus mitis bv. 2 str. SK95		NrdDc1				1	1
							Streptococcus mitis bv. 2 str. SK95		NrdE				1	1
							Streptococcus mitis bv. 2 str. SK95		NrdDc				1	1
							Streptococcus mitis		NrdB				8	8
							Streptococcus mitis		NrdF				8	8
							Streptococcus mitis		NrdA				8	8
							Streptococcus mitis		NrdD				8	8
							Streptococcus mitis		NrdDc1				8	8
							Streptococcus mitis		NrdE				8	8
							Streptococcus mitis		NrdDc				8	8
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdB				2	1
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdF				2	1
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdF1				1	1
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdA				2	1
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdD				1	1
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdDc1				1	1
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdE				2	1
							Streptococcus dysgalactiae subsp. equisimilis SK1249		NrdDc				1	1
							Streptococcus dysgalactiae		NrdB				6	3
							Streptococcus dysgalactiae		NrdF				6	3
							Streptococcus dysgalactiae		NrdF1				3	3
							Streptococcus dysgalactiae		NrdA				6	3
							Streptococcus dysgalactiae		NrdD				3	3
							Streptococcus dysgalactiae		NrdDc1				3	3
							Streptococcus dysgalactiae		NrdE				6	3
							Streptococcus dysgalactiae		NrdDc				3	3
							Anaplasma marginale		NrdBk				2	2
							Anaplasma marginale		NrdB				2	2
							Anaplasma marginale		NrdA				2	2
							Anaplasma marginale		NrdAk				2	2
							Photobacterium leiognathi subsp. mandapamensis svers.1.1.		NrdBg				1	1
							Photobacterium leiognathi subsp. mandapamensis svers.1.1.		NrdB				1	1
							Photobacterium leiognathi subsp. mandapamensis svers.1.1.		NrdA				1	1
							Photobacterium leiognathi subsp. mandapamensis svers.1.1.		NrdD				1	1
							Photobacterium leiognathi subsp. mandapamensis svers.1.1.		NrdDc1				1	1
							Photobacterium leiognathi subsp. mandapamensis svers.1.1.		NrdAg				1	1
							Photobacterium leiognathi subsp. mandapamensis svers.1.1.		NrdDc				1	1
							Photobacterium leiognathi		NrdBg				1	1
							Photobacterium leiognathi		NrdB				1	1
							Photobacterium leiognathi		NrdA				1	1
							Photobacterium leiognathi		NrdD				1	1
							Photobacterium leiognathi		NrdDc1				1	1
							Photobacterium leiognathi		NrdAg				1	1
							Photobacterium leiognathi		NrdDc				1	1
							Francisella tularensis subsp. tularensis TI0902		NrdBk				1	1
							Francisella tularensis subsp. tularensis TI0902		NrdB				1	1
							Francisella tularensis subsp. tularensis TI0902		NrdA				1	1
							Francisella tularensis subsp. tularensis TI0902		NrdAk				1	1
							Francisella tularensis		NrdBk				10	10
							Francisella tularensis		NrdB				10	10
							Francisella tularensis		NrdA				10	10
							Francisella tularensis		NrdAk				10	10
							Francisella tularensis subsp. tularensis TIGB03		NrdBk				1	1
							Francisella tularensis subsp. tularensis TIGB03		NrdB				1	1
							Francisella tularensis subsp. tularensis TIGB03		NrdA				1	1
							Francisella tularensis subsp. tularensis TIGB03		NrdAk				1	1
							Bacillus amyloliquefaciens LL3		NrdB				2	1
							Bacillus amyloliquefaciens LL3		NrdF				2	1
							Bacillus amyloliquefaciens LL3		NrdA				1	1
							Bacillus amyloliquefaciens LL3		NrdE				1	1
							Bacillus amyloliquefaciens		NrdB				9	7
							Bacillus amyloliquefaciens		NrdF				9	7
							Bacillus amyloliquefaciens		NrdA				11	7
							Bacillus amyloliquefaciens		NrdE				11	7
							Pseudomonas mendocina NK-01		NrdB				1	1
							Pseudomonas mendocina NK-01		NrdBc				1	1
							Pseudomonas mendocina NK-01		NrdA				1	1
							Pseudomonas mendocina NK-01		NrdD				1	1
							Pseudomonas mendocina NK-01		NrdAc				1	1
							Pseudomonas mendocina NK-01		NrdDd1				1	1
							Pseudomonas mendocina NK-01		NrdDd				1	1
							Pseudomonas mendocina		NrdB				2	2
							Pseudomonas mendocina		NrdBc				2	2
							Pseudomonas mendocina		NrdA				2	2
							Pseudomonas mendocina		NrdD				1	1
							Pseudomonas mendocina		NrdAc				2	2
							Pseudomonas mendocina		NrdDd1				1	1
							Pseudomonas mendocina		NrdDd				1	1
							Escherichia coli PCN033		NrdBg				1	1
							Escherichia coli PCN033		NrdB				2	1
							Escherichia coli PCN033		NrdF				1	1
							Escherichia coli PCN033		NrdF1				1	1
							Escherichia coli PCN033		NrdA				2	1
							Escherichia coli PCN033		NrdD				1	1
							Escherichia coli PCN033		NrdDc1				1	1
							Escherichia coli PCN033		NrdAg				1	1
							Escherichia coli PCN033		NrdE				1	1
							Escherichia coli PCN033		NrdE1				1	1
							Escherichia coli PCN033		NrdDc				1	1
							Escherichia coli		NrdBg				88	81
							Escherichia coli		NrdB				171	81
							Escherichia coli		NrdF				83	78
							Escherichia coli		NrdF1				83	78
							Escherichia coli		NrdA				173	81
							Escherichia coli		NrdD				86	81
							Escherichia coli		NrdDc1				86	81
							Escherichia coli		NrdAg				88	81
							Escherichia coli		NrdE				85	80
							Escherichia coli		NrdE1				85	80
							Escherichia coli		NrdDc				86	81
